#!format=2
# Role;Station Name;Model Id;IP Address;PN Number;Subnet;Custom Parameters  (PN Number empty = last IP octet)
Plc;n0001-zp001-el001-k30001;6ES7517-3FP00-0AB0;192.168.50.1;;Subnet50;
PlcCardCm;n0001-zp001-el001-k30002;6GK7542-1AX00-0XE0;192.168.51.1;;Subnet51;
IoDevice;n0005-zp001-el001-k40001;6ES7155-6AU01-0BN0;192.168.50.5;;Subnet50;
IoDevice;n0013-uf317-xn10;55556;192.168.50.13;;Subnet50;
IoDevice;n0015-uc16-el001-k30001;6ES7155-6AU01-0BN0;192.168.50.15;;Subnet50;
IoDevice;n0016-uc164-xn10;55556;192.168.50.16;;Subnet50;
IoDevice;n0017-lv004-el001-k30001;6ES7155-6AU01-0BN0;192.168.50.17;;Subnet50;
IoDevice;n0018-lv004-el001-k30001;6ES7155-6AU01-0BN0;192.168.50.18;;Subnet50;
IoDevice;n0020-uc15-el001-k30001;6ES7155-6AU01-0BN0;192.168.50.20;;Subnet50;
IoDevice;n0023-uc154-xn10;55556;192.168.50.23;;Subnet50;
IoDevice;n0021-icg11-el001-k30001;6ES7155-6AU01-0BN0;192.168.50.21;;Subnet50;
IoDevice;n0022-icg21-el001-k30001;6ES7155-6AU01-0BN0;192.168.50.22;;Subnet50;
IoDevice;n0025-uc14-el001-k30001;6ES7155-6AU01-0BN0;192.168.50.25;;Subnet50;
IoDevice;n0026-uc144-xn10;55556;192.168.50.26;;Subnet50;
IoDevice;n0038-uc1-el001-k30001;6ES7155-6AU01-0BN0;192.168.50.38;;Subnet50;
IoDevice;n0039-lv001-el001-k30001;6ES7155-6AU01-0BN0;192.168.50.39;;Subnet50;
IoDevice;n0040-lv001-el001-k30001;6ES7155-6AU01-0BN0;192.168.50.40;;Subnet50;
IoDevice;n0041-uf31-el002-k30001;6ES7155-6AU01-0BN0;192.168.50.41;;Subnet50;
IoDevice;n0042-uf41-el002-k30001;6ES7155-6AU01-0BN0;192.168.50.42;;Subnet50;
IoDevice;n0044-ct1-el001-k30001;6ES7155-6AU01-0BN0;192.168.50.44;;Subnet50;
IoDevice;n0045-ct1-el002-k30001;6ES7155-6AU01-0BN0;192.168.50.45;;Subnet50;
IoDevice;n0046-ct1-el003-k30001;6ES7155-6AU01-0BN0;192.168.50.46;;Subnet50;
IoDevice;n0047-lv002-el001-k30001;6ES7155-6AU01-0BN0;192.168.50.47;;Subnet50;
IoDevice;n0048-lv002-el001-k30001;6ES7155-6AU01-0BN0;192.168.50.48;;Subnet50;
IoDevice;n0050-uc13-el001-k30001;6ES7155-6AU01-0BN0;192.168.50.50;;Subnet50;
IoDevice;n0051-uc134-xn10;55556;192.168.50.51;;Subnet50;
IoDevice;n0053-uc12-el001-k30001;6ES7155-6AU01-0BN0;192.168.50.53;;Subnet50;
IoDevice;n0055-uc124-xn10;55556;192.168.50.55;;Subnet50;
IoDevice;n0054-uf31-el003-k30001;6ES7155-6AU01-0BN0;192.168.50.54;;Subnet50;
IoDevice;n0057-uc11-el001-k30001;6ES7155-6AU01-0BN0;192.168.50.57;;Subnet50;
IoDevice;n0060-uc114-xn10;55556;192.168.50.60;;Subnet50;
IoDevice;n0058-lv003-el001-k30001;6ES7155-6AU01-0BN0;192.168.50.58;;Subnet50;
IoDevice;n0059-lv003-el001-k30001;6ES7155-6AU01-0BN0;192.168.50.59;;Subnet50;
IoDevice;n0028-uc17-el001-k30001;6ES7155-6AU01-0BN0;192.168.50.28;;Subnet50;
IoDevice;n0029-uc173-xn10;55556;192.168.50.29;;Subnet50;
