type_id,type_id_desc,category,pair_key,channel,is_pattern,tagtable_name,tag_name,db_names,db_element,in_diag,diag_logic,diag_desc,tristate_desc,io_comment,ce_mandatory,diag_container_check,interface_tagname
A,Alarm,Diag,,,no,Alarms_Warnings,{desc_l1} {desc_l1b} [ {iol_FLD} ],,,yes,,{desc_l1} {desc_l1b},,[ {script_type} {index}  {drawing} ],no,{functional_unit}{location},PNC_Q_{interface_name}-{interface_id}_{desc_l1} {desc_l1b} [ {iol_FLD} ]
W,Warning,Diag,,,no,Alarms_Warnings,{desc_l1} {desc_l1b} [ {iol_FLD} ],,,yes,,{desc_l1} {desc_l1b},,[ {script_type} {index}  {drawing} ],no,{functional_unit}{location},PNC_Q_{interface_name}-{interface_id}_{desc_l1} {desc_l1b} [ {iol_FLD} ]
PA,Fieldbus Alarm,Diag,,,no,,,PROFINET_NODES_ALARM|00_Commissioning,{profinet_name} {profinet_ip},yes,mirror,FIELDBUS NODE FAILURE {profinet_name} {profinet_ip},,[ {script_type} {index}  {drawing} ],no,{functional_unit}{location}|Field,PNC_Q_{interface_name}-{interface_id}_{desc_l1} {desc_l1b} [ {iol_FLD} {profinet_name} {profinet_ip} ]
PW,Fieldbus Warning,Diag,,,no,,,PROFINET_NODES_WARNING,{profinet_name} {profinet_ip},yes,mirror,FIELDBUS NODE FAILURE {profinet_name} {profinet_ip},,[ {script_type} {index}  {drawing} ],no,{functional_unit}{location}|Field,PNC_Q_{interface_name}-{interface_id}_{desc_l1} {desc_l1b} [ {iol_FLD} {profinet_name} {profinet_ip} ]
E1/2,Emergency Push Button,Safety,E,1,no,EMERGENCY_PushButtons,Emergency Push Button [ {combined_FLD} ],01_Pushbutton,Emergency Push Button [ {combined_FLD} ],yes,invert,EMERGENCY PUSH-BUTTON PRESSED {combined_FLD},EMERGENCY PUSH-BUTTON RELEASED {combined_FLD},[ {script_type} {index}  {drawing} ],yes,emergency,PNC_Q_{interface_name}-{interface_id}_{tag_name}
E2/2,Emergency Push Button,Safety,E,2,no,,,,,no,,,,[ {script_type} {index}  {drawing} ],no,emergency,PNC_Q_{interface_name}-{interface_id}_Emergency Push Button [ {combined_FLD} ]
B1/2,Safety Breaker,Safety,B,1,no,SAFETY_Breakers,Safety Breaker [ {combined_FLD} ],01_Pushbutton,Safety Breaker [ {combined_FLD} ],yes,invert,THE SAFETY BREAKER IS OPEN {combined_FLD},,[ {script_type} {index}  {drawing} ],yes,breaker,PNC_Q_{interface_name}-{interface_id}_{tag_name}
B2/2,Safety Breaker,Safety,B,2,no,,,,,no,,,,[ {script_type} {index}  {drawing} ],no,breaker,PNC_Q_{interface_name}-{interface_id}_Safety Breaker [ {combined_FLD} ]
N1/2,Safety Encoder Sensor 1,Safety,N,1,no,SAFETY_Encoders,Safety Encoder {index} Sensor 1 [ {iol_FLD} ],04_SPEED,Safety Encoder {index} Sensor 1 Healthy [ {iol_FLD} ],yes,invert,SAFETY ENCODER PHOTOCELL 1 FAILURE {combined_FLD},,[ {script_type} {index}  {drawing} ],warn,encoder,PNC_Q_{interface_name}-{interface_id}_{tag_name}
N2/2,Safety Encoder Sensor 2,Safety,N,2,no,SAFETY_Encoders,Safety Encoder {index} Sensor 2 [ {iol_FLD} ],04_SPEED,Safety Encoder {index} Sensor 2 Healthy [ {iol_FLD} ],yes,invert,SAFETY ENCODER PHOTOCELL 2 FAILURE {combined_FLD},,[ {script_type} {index}  {drawing} ],warn,encoder,PNC_Q_{interface_name}-{interface_id}_{tag_name}
