# Station Name;Device Model Identifier;IP Address;Subnet Name;Device Custom Parameters;Submodule 1 Name;Submodule 1 Model;Submodule 1 Addresses (I&Q);Submodule 1 Custom Parameters;Submodule 2 Name;Submodule 2 Model;Submodule 2 Addresses (I&Q);Submodule 2 Custom Parameters;Submodule 3 Name;Submodule 3 Model;Submodule 3 Addresses (I&Q);Submodule 3 Custom Parameters;Submodule 4 Name;Submodule 4 Model;Submodule 4 Addresses (I&Q);Submodule 4 Custom Parameters;…;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# n0006-zp001-el001-k25501;6ES7158-3AD10-0XA0;192.168.50.6;Subnet50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# n0007-zp001-el001-k25502;6ES7158-3AD10-0XA0;192.168.50.7;Subnet50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# n0008-zp001-el001-k25601;6ES7158-3AD10-0XA0;192.168.50.8;Subnet50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# n0009-zp001-el001-k25602;6ES7158-3AD10-0XA0;192.168.50.9;Subnet50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
n0005-zp001-el001-k40001;6ES7155-6AU01-0BN0;192.168.50.5;Subnet50;;-K40002;6ES7131-6BH01-0BA0;0&0;;-K40003;6ES7131-6BH01-0BA0;2&2;;-K40004;6ES7131-6BH01-0BA0;4&4;;-K40005;6ES7131-6BH01-0BA0;6&6;;-K40006;6ES7131-6BH01-0BA0;8&8;;-K40007;6ES7131-6BH01-0BA0;10&10;;-K40008;6ES7131-6BH01-0BA0;12&12;;-K40009;6ES7131-6BH01-0BA0;14&14;;-K40010;6ES7131-6BH01-0BA0;16&16;;-K40011;6ES7131-6BH01-0BA0;18&18;;-K40012;6ES7131-6BH01-0BA0;20&20;;-K40013;6ES7131-6BH01-0BA0;22&22;;-K40014;6ES7131-6BH01-0BA0;24&24;;-K40015;6ES7131-6BH01-0BA0;26&26;;-K40016;6ES7131-6BH01-0BA0;28&28;;-K40017;6ES7131-6BH01-0BA0;30&30;;-K40018;6ES7131-6BH01-0BA0;32&32;;-K40019;6ES7136-6BA01-0CA0;41&41;Failsafe_DiscrepancyTime.Ch(0-7)=100;-K40020;6ES7132-6BH01-0BA0;51&51;PotentialGroup=1
n0013-uf317-xn10;55556;192.168.50.13;Subnet50;;-XN10;55556_DefaultCard;82&82;Failsafe_FDestinationAddress=013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
n0015-uc16-el001-k30001;6ES7155-6AU01-0BN0;192.168.50.15;Subnet50;;-K30002;6ES7131-6BH01-0BA0;91&91;;-K30003;6ES7131-6BH01-0BA0;93&93;;-K30004;6ES7136-6BA01-0CA0;104&104;Failsafe_DiscrepancyTime.Ch(0-7)=100;-K30005;6ES7136-6BA01-0CA0;114&114;Failsafe_DiscrepancyTime.Ch(0-7)=100,Failsafe_SensorEvaluation.Ch(3)=0;-K30006;6ES7136-6BA01-0CA0;124&124;Failsafe_DiscrepancyTime.Ch(0-7)=100;-K30007;6ES7136-6BA01-0CA0;134&134;Failsafe_DiscrepancyTime.Ch(0-7)=100;-K30008;6ES7136-6DB00-0CA0;164&164;PotentialGroup=1;-K30009;6ES7136-6DB00-0CA0;169&169;;-K30010;6ES7136-6DB00-0CA0;174&174;;-K30011;6ES7136-6DB00-0CA0;179&179;;-K30012;6ES7136-6DB00-0CA0;184&184;;-K30013;6ES7136-6DB00-0CA0;189&189;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
n0016-uc164-xn10;55556;192.168.50.16;Subnet50;;-XN10;55556_DefaultCard;219&219;Failsafe_FDestinationAddress=016;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
n0017-lv004-el001-k30001;6ES7155-6AU01-0BN0;192.168.50.17;Subnet50;;-K30002;6ES7131-6BH01-0BA0;228&228;;-K30003;6ES7136-6BA01-0CA0;239&239;Failsafe_DiscrepancyTime.Ch(0-7)=100,Failsafe_SensorEvaluation.Ch(0)=0,Failsafe_SensorEvaluation.Ch(1)=0,Failsafe_SensorEvaluation.Ch(5)=0,Failsafe_SensorEvaluation.Ch(2)=0;-K30004;6ES7136-6BA01-0CA0;249&249;Failsafe_DiscrepancyTime.Ch(0-7)=100;-K30005;6ES7136-6DB00-0CA0;279&279;PotentialGroup=1;-K30006;6ES7136-6DB00-0CA0;284&284;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
n0018-lv004-el001-k30001;6ES7155-6AU01-0BN0;192.168.50.18;Subnet50;;-K30002;6ES7131-6BH01-0BA0;314&314;;-K30003;6ES7136-6BA01-0CA0;325&325;Failsafe_DiscrepancyTime.Ch(0-7)=100,Failsafe_SensorEvaluation.Ch(0)=0,Failsafe_SensorEvaluation.Ch(1)=0,Failsafe_SensorEvaluation.Ch(5)=0,Failsafe_SensorEvaluation.Ch(2)=0;-K30004;6ES7136-6BA01-0CA0;335&335;Failsafe_DiscrepancyTime.Ch(0-7)=100;-K30005;6ES7136-6DB00-0CA0;365&365;PotentialGroup=1;-K30006;6ES7136-6DB00-0CA0;370&370;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
n0020-uc15-el001-k30001;6ES7155-6AU01-0BN0;192.168.50.20;Subnet50;;-K30002;6ES7131-6BH01-0BA0;400&400;;-K30003;6ES7131-6BH01-0BA0;402&402;;-K30004;6ES7136-6BA01-0CA0;413&413;Failsafe_DiscrepancyTime.Ch(0-7)=100;-K30005;6ES7136-6BA01-0CA0;423&423;Failsafe_DiscrepancyTime.Ch(0-7)=100,Failsafe_SensorEvaluation.Ch(3)=0;-K30006;6ES7136-6BA01-0CA0;433&433;Failsafe_DiscrepancyTime.Ch(0-7)=100;-K30007;6ES7136-6BA01-0CA0;443&443;Failsafe_DiscrepancyTime.Ch(0-7)=100;-K30008;6ES7136-6DB00-0CA0;473&473;PotentialGroup=1;-K30009;6ES7136-6DB00-0CA0;478&478;;-K30010;6ES7136-6DB00-0CA0;483&483;;-K30011;6ES7136-6DB00-0CA0;488&488;;-K30012;6ES7136-6DB00-0CA0;493&493;;-K30013;6ES7136-6DB00-0CA0;498&498;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
n0023-uc154-xn10;55556;192.168.50.23;Subnet50;;-XN10;55556_DefaultCard;528&528;Failsafe_FDestinationAddress=023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
n0021-icg11-el001-k30001;6ES7155-6AU01-0BN0;192.168.50.21;Subnet50;;-K30002;6ES7131-6BH01-0BA0;537&537;;-K30003;6ES7136-6BA01-0CA0;548&548;Failsafe_DiscrepancyTime.Ch(0-7)=100;-K30004;6ES7136-6BA01-0CA0;558&558;Failsafe_DiscrepancyTime.Ch(0-7)=100;-K30005;6ES7136-6BA01-0CA0;568&568;Failsafe_DiscrepancyTime.Ch(0-7)=100;-K30006;6ES7136-6BA01-0CA0;578&578;Failsafe_DiscrepancyTime.Ch(0-7)=100;-K30007;6ES7136-6DB00-0CA0;608&608;PotentialGroup=1;-K30008;6ES7136-6DB00-0CA0;613&613;;-K30009;6ES7136-6DB00-0CA0;618&618;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
n0022-icg21-el001-k30001;6ES7155-6AU01-0BN0;192.168.50.22;Subnet50;;-K30002;6ES7131-6BH01-0BA0;648&648;;-K30003;6ES7136-6BA01-0CA0;659&659;Failsafe_DiscrepancyTime.Ch(0-7)=100;-K30004;6ES7136-6BA01-0CA0;669&669;Failsafe_DiscrepancyTime.Ch(0-7)=100;-K30005;6ES7136-6BA01-0CA0;679&679;Failsafe_DiscrepancyTime.Ch(0-7)=100;-K30006;6ES7136-6BA01-0CA0;689&689;Failsafe_DiscrepancyTime.Ch(0-7)=100;-K30007;6ES7136-6DB00-0CA0;719&719;PotentialGroup=1;-K30008;6ES7136-6DB00-0CA0;724&724;;-K30009;6ES7136-6DB00-0CA0;729&729;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
n0025-uc14-el001-k30001;6ES7155-6AU01-0BN0;192.168.50.25;Subnet50;;-K30002;6ES7131-6BH01-0BA0;759&759;;-K30003;6ES7131-6BH01-0BA0;761&761;;-K30004;6ES7136-6BA01-0CA0;772&772;Failsafe_DiscrepancyTime.Ch(0-7)=100;-K30005;6ES7136-6BA01-0CA0;782&782;Failsafe_DiscrepancyTime.Ch(0-7)=100,Failsafe_SensorEvaluation.Ch(3)=0;-K30006;6ES7136-6BA01-0CA0;792&792;Failsafe_DiscrepancyTime.Ch(0-7)=100;-K30007;6ES7136-6BA01-0CA0;802&802;Failsafe_DiscrepancyTime.Ch(0-7)=100;-K30008;6ES7136-6DB00-0CA0;832&832;PotentialGroup=1;-K30009;6ES7136-6DB00-0CA0;837&837;;-K30010;6ES7136-6DB00-0CA0;842&842;;-K30011;6ES7136-6DB00-0CA0;847&847;;-K30012;6ES7136-6DB00-0CA0;852&852;;-K30013;6ES7136-6DB00-0CA0;857&857;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
